tulajdonsag,ertek,egyseg,darabszam,egyedi_hash
tömeg,0.18,kg,1,378432690222eee32093c507022cd0ab1680204b19c3faea2848b125743d0c8e
tömeg,1,kg,1,b9ed4c260b3806afe6f15da33c818809bdf8fb84d4215a457a46d8617412039b
tömeg,0.225,kg,1,0728171a8e7f9b4346bf487fc7ae5f1677e43d3bb7508010a497f8875bd6f5f9
tömeg,0.04,kg,1,0b9e31416a7aa1952f15bea3c94d58bf56136bee41081821196bb33cf45870e6
tömeg,0.042,kg,1,0b9e31416a7aa1952f15bea3c94d58bf56136bee41081821196bb33cf45870e6
tömeg,0.045,kg,1,0b9e31416a7aa1952f15bea3c94d58bf56136bee41081821196bb33cf45870e6
tömeg,0.2,kg,1,a9e5e5253a4f311c4cc055db7b0b93a4e5ee4072c7ba2875b6ca844a63a01120
darabszám,1,db,1,a9e5e5253a4f311c4cc055db7b0b93a4e5ee4072c7ba2875b6ca844a63a01120
tömeg,0.128,kg,1,8cc7390c1bf1cc1204237ae04ed3459177101489a2bba6577a2b176492e1f8fb
tömeg,1,kg,1,8cc7390c1bf1cc1204237ae04ed3459177101489a2bba6577a2b176492e1f8fb
tömeg,0.5,kg,1,f5396f683fe4edc85bca3161299bd24c1aba56e708c912322c11c5ae3d4962cc
tömeg,1,kg,1,f5396f683fe4edc85bca3161299bd24c1aba56e708c912322c11c5ae3d4962cc
tömeg,0.1,kg,1,62b576081e4720040668cb7b3f6c4dd1061043b89f4fb0e5ef85bfb6ec1b5bf2
tömeg,0.08,kg,1,62b576081e4720040668cb7b3f6c4dd1061043b89f4fb0e5ef85bfb6ec1b5bf2
tömeg,0.25,kg,1,4dcaabd8ed14c0f47bb210cfe4117f6eebe24a40701ead8e46bd25c0dfef1ef0
tömeg,0.138,kg,1,292cc6e1886d202b013840fef3e6f6f14ffb1e9ace81e39a0f831bb523b91edd
tömeg,0.33,kg,1,a3c1e9737fcfa6b86d16211e444c9532b24037f17e2466cd438256ac4415f371
tömeg,0.23,kg,1,987c71c7e0abfac1cf3d847a6140932108403f63254b232e989a4c697f6cc46f
tömeg,0.54,kg,1,f363245c5c59d4163b6be7d4eb89a5f5f4fc6f1aef42be0e762c6613b3a579d2
tömeg,0.065,kg,1,1efabc0be2f1250f197da032cd829b840090fee97cfc460998fb543b71c4b3c4
tömeg,0.5,kg,1,93fbfc95d374c4ecd2e41687c3f276d3a0bdddf72e8ecef69a503700825a4c65
tömeg,0.5,kg,1,dfe2361c0cd5c1f96e489712fe6d62e38a23f6102d3745945d6f797d35977571
tömeg,0.5,kg,1,fa8c1c3fc6ff43bbb530eec9b1b6becea8439e9747031a311e828636125b76e5
tömeg,1,kg,1,fa8c1c3fc6ff43bbb530eec9b1b6becea8439e9747031a311e828636125b76e5
tömeg,0.2,kg,1,98a8d948a1ba1129274914402f5a1e26861062e7876c728a40f8ff2bd3ce8823
tömeg,0.2,kg,1,5ea566921973675b4cfc6451f111f819c844cce5260407b0c7120ed792b5ffbc
tömeg,0.5,kg,1,1d2cd49f69a72447efdca2294a7f5c0e757e21380adb8c39aa5a2715bc8647c1
tömeg,2,kg,1,0abb9c55a70d2457dde1e46540f4e9a1a42106faa54cc42d4e3daed42115b264
tömeg,0.24,kg,1,f75c5655c7844472d5fe3a23fe6dcdb314b94dc72f9a080b0e1ca375bb5ee5dc
tömeg,1,kg,1,f75c5655c7844472d5fe3a23fe6dcdb314b94dc72f9a080b0e1ca375bb5ee5dc
tömeg,0.5,kg,1,73cd7b0e22a4129951c57bb0938ab4950b20ed60758bd98e073a775032619d3b
tömeg,0.2,kg,1,e7b68af3984de0e18ba30ff82a4150712d9846f6a870c6923461358380d50edf
tömeg,0.5,kg,1,8073fdb03fa9bed43387414ec0d3ce2505fa80927990431d63c86f93011b835b
tömeg,0.4,kg,1,f91022e7b6aa984fa3858a5f237a0334006b579cdefd1cc1c47207602dee1651
tömeg,1,kg,1,29e367be8dc621bc6339d09c04cb6e4ab2063a4825d983a92bcfecd81845f79c
tömeg,1,kg,1,1a7be27daa911bda8b8fb9c8693751389c0e6ae36258d4cabd4f18f25150ef3e
tömeg,0.065,kg,1,e90eb8a7b57dd88b5a3b507c2bec52d2e2ffe5c179fad73ed3db13515a710b70
tömeg,0.2,kg,1,70d3ee90a1f979303562cbb36f5072f0f15037d6e8fa117c25dc7da11b9a9deb
tömeg,0.18,kg,1,608b96e2ca2d768b3e3ae8d16f0f13f7f7e7deed1e474f9039cc274a98b0da63
tömeg,0.5,kg,1,05f748274a73d886c90985f879bb1a15d968a0e540d2191c647ed2f1f9213823
tömeg,0.03,kg,1,5ea4cfeaee679fca4113384ed9879ae8890d6da12fc2ac9f516aecff321943b3
tömeg,0.03,kg,1,18629631e63a91c311a1f1e528f0a0f6eb0359665ea013d592ff18b2b3a33f4b
tömeg,0.375,kg,1,c4b8be8b8767a74ae71bc34f9d7e5fb384930ff49211398e5943aa46fb38b219
tömeg,0.02,kg,1,870726cb88efc29d5820e0b8ce1801474999081f8ae7cd77e36a6cbaa4adcc2e
darabszám,1,db,1,bd7a1e4d7eaa10d32ff9e7989f59c230688609d35f3bcd0bb1c3574474b7f893
tömeg,0.035,kg,1,d7bbb8c7aa92d9c95f84450be1cccb9be059b0d0479652d32302a065f46e4d8e
darabszám,1,db,1,c3bf798ce0baafa4a58f4c890f3105aff91dee2471b5dc058bab17263b795ccb
darabszám,18,db,1,a542c14bab87787481cd21a1c97821a2b568c568f7b1d643eaaa04bbb532c727
tömeg,0.16,kg,1,a542c14bab87787481cd21a1c97821a2b568c568f7b1d643eaaa04bbb532c727
tömeg,0.45,kg,1,282bfeebcb23bfa03854054af868bb5a6f8e71746622d1924041044c275eccfb
tömeg,0.385,kg,1,b284741e831d86a02f0f08089249113366287bd7cb6d9ae9ae84f443af9b95ba
tömeg,0.175,kg,1,3c184df06f12e09fbea41ca51a385631a8a68054aa0f5d3d708cddcf5dcadab1
tömeg,0.29,kg,1,09dde6ccd38ceef830c985e7c72ace2a32d8c1f460452aeb4add7f8bcc80fb18
tömeg,0.1,kg,1,1ead320e6a38bacd923fb5167b54fb83d8a7b30f9fae1f4647bfa825a46e3c24
