tulajdonsag,ertek,egyseg,darabszam,egyedi_hash
tömeg,0.36,kg,1,1affbc590f045517ef055d56d21d482e9b093e3d4a0bc7b0f785809034f7ba15
tömeg,0.32,kg,1,1affbc590f045517ef055d56d21d482e9b093e3d4a0bc7b0f785809034f7ba15
tömeg,0.325,kg,1,1affbc590f045517ef055d56d21d482e9b093e3d4a0bc7b0f785809034f7ba15
tömeg,0.335,kg,1,1affbc590f045517ef055d56d21d482e9b093e3d4a0bc7b0f785809034f7ba15
tömeg,0.35,kg,1,9ead1e9dbecfbb2bfb545350401fc7cb415f4ea86634b3d0450e1f77a68ae319
tömeg,0.1,kg,1,4cd163bec29ed37ae78d4c74e103974534575b3c745c8598a84e3f0d9fa84245
tömeg,1,kg,1,4cd163bec29ed37ae78d4c74e103974534575b3c745c8598a84e3f0d9fa84245
tömeg,0.07,kg,1,4f8e31870225475fe0b8f8c059d55f22c70bf874f3a15e5f67c4bcdaa2f30afc
tömeg,0.075,kg,1,19555da7dfaea1295d47fb732e37a2b5e3b04c02cb0c6319a4c3e02ae0ba9e42
tömeg,0.2,kg,1,729b57f89a24c4e7a3f1541d0109ef297fa099f167ceac804b148a3173516440
tömeg,0.25,kg,1,43fe6297a2bf7ac6302c4c147f2520d271da0e249c24ef390eb1f41bbee19ac2
tömeg,0.1,kg,1,bf5f2cdbf5d97b3fa02f496294f42b31eb2be0b7dba23c6267051a62300494b3
tömeg,0.35,kg,1,289e4e1cfefcc482b065e91048cacd3cf10c9ddd2aa3bfafa9b2550f7bde68b4
tömeg,0.1,kg,1,94145dd6c72bdbf3ba14d2df2733216898b006d1b497966c13ceb87066dab5d1
tömeg,0.14,kg,1,eef1a0c7c96035e0d5012bf15f2abc8e299ddc0f2c942ba1d3e319c60507e131
tömeg,0.06,kg,1,fa82b1df3ef30a6e80732e72f1cd7ca7e4c789fda08ef66296c4edc0bdfa6a6a
tömeg,0.07,kg,1,2206576c7b6eb31cc5d90e7f59140881a2f0d176ce81bbb5dca5e17e8aa5f168
tömeg,0.3,kg,1,82a22cde636ae1e0088712444e09d79e7f98fbcce02294dc52bd6690f5525275
tömeg,0.75,kg,1,4bba64465220397e5f38900a1691eb3b9071c34b9326ec8c828e61b46e158e98
darabszám,6,db,1,f59bde71ce805534406d6fa57a723ed1a9224a0f34325ffb5d3bafcb16327aba
darabszám,1,db,1,f59bde71ce805534406d6fa57a723ed1a9224a0f34325ffb5d3bafcb16327aba
tömeg,0.3,kg,1,f59bde71ce805534406d6fa57a723ed1a9224a0f34325ffb5d3bafcb16327aba
tömeg,0.1,kg,1,4bd75da36901c27c254e7a432d051b47ab980feae1838b033c2784330fe92e52
tömeg,1,kg,1,4bd75da36901c27c254e7a432d051b47ab980feae1838b033c2784330fe92e52
tömeg,0.1,kg,1,9816f41ad9f80b15c22219b350993b624cef1b988d3ee5600e8fe604e31679d9
tömeg,1,kg,1,9816f41ad9f80b15c22219b350993b624cef1b988d3ee5600e8fe604e31679d9
tömeg,0.15,kg,1,7251c726a6ea2ff191f18e44f812e7ea15d8feb0665b0c455219632e77c01ca5
darabszám,1,db,1,7251c726a6ea2ff191f18e44f812e7ea15d8feb0665b0c455219632e77c01ca5
tömeg,0.09,kg,1,c4dc9c8232d223ec5e4e4f23d587060158345d378b95d09b749672ec02fc2b5f
tömeg,0.07,kg,1,1ecfc7193ab2e83677b5b43ea11c0e5bb7c49f45763a8cae5d60d099e208218d
tömeg,0.1,kg,1,85ad8774018e918009a14202053c3fd5589e3fc322a51cb96b3cee2ce781dee6
tömeg,1,kg,1,85ad8774018e918009a14202053c3fd5589e3fc322a51cb96b3cee2ce781dee6
tömeg,0.07,kg,1,0129d7d2b7836fc28fce530ee30d936a4753e4ff4f85699e947efcbbd9c2d67f
tömeg,1,kg,1,0129d7d2b7836fc28fce530ee30d936a4753e4ff4f85699e947efcbbd9c2d67f
tömeg,0.1,kg,1,4a05e4442769245c97eac2ee1ddcdb9ad68f2681742e5f9faf92628e8eb68177
tömeg,0.1,kg,1,f2a33faa8b3d985ab785c6f9db71b790d972482fba7d19bb02ffed486ff19045
tömeg,0.15,kg,1,fdc2951d906ead0a2854f16e0061316f6c2f504c8ddabc7a7de12c8794db920d
darabszám,1,db,1,fdc2951d906ead0a2854f16e0061316f6c2f504c8ddabc7a7de12c8794db920d
tömeg,0.35,kg,1,037a48e308153e1971642e3753c85b36d437d69b5f5a79ba817ac48fbf80e6c6
tömeg,0.3,kg,1,d42cd4ef29c738833f73125e484531862435f2b7918743b30c2b4d489614bc93
tömeg,1,kg,1,d42cd4ef29c738833f73125e484531862435f2b7918743b30c2b4d489614bc93
tömeg,0.15,kg,2,e579c1a1a38a8e70a9388ca9a55086ff2fe703f6cf6b6e3b1ad44b6523e8553c
tömeg,0.3,kg,1,98b66d7bb2dd40a8e011e78671e83e73511fcb76a3a860ec518ce57e3d3e65ee
tömeg,0.1,kg,1,bc1fe353e2c382c276f76654e2abf54866da30496e0bee1d90bd9ff7466db685
tömeg,0.5,kg,1,e1d47ba78942e81dc7ff3687d1bf8574f310cf2cd817c15143efd8760adec8b1
tömeg,0.05,kg,3,69c54c8eb3d1e053dfeb4e2590a5bc514b06ad7d1bf54964194d71258e1333b3
tömeg,0.3,kg,1,390e778840e885b24b44096c801dd5717a23fbe9704f10c1e0c6b55442dbf3ae
tömeg,0.4,kg,1,ebc3a9c142480291ac8471b8954eac7658fc0e86c25f291ae81414b59c9f352d
darabszám,1,db,1,ebc3a9c142480291ac8471b8954eac7658fc0e86c25f291ae81414b59c9f352d
tömeg,0.4,kg,1,883e3c1fdea38f217bdbf9c373b678560bb136130990f4c53043f757732ce8de
tömeg,0.25,kg,1,a6634b46cd13e887fe8f1f0c2d913e8a9f32f04678c4def60704621df8010535
tömeg,0.8,kg,1,73bbc559e487368fc1ae7e0cf882751c694f296aa286b4e51722331a61c4f3e2
tömeg,0.08,kg,1,c9963f2924dee0900c7848589ae395fc8cde601229016610e99bc1ce7c407061
tömeg,0.1,kg,1,56c6e477c65b0ed580c6db2512d31fe2229cc45def4036489bcd6fe401305ccc
tömeg,0.38,kg,1,c9782ce6ad8fb2e9ea7a0b45ef21d2ca906ba442dec6d0aded6efaceebc4a30d
tömeg,0.75,kg,1,e55d39f468eb99e4dc8607aea843bf16b6ea69aabc50bf4b35ceecc51073c949
tömeg,1,kg,1,8bdd9fe3d49d6741ea7a26439e98909e98c7da2502ce099d5822b758553748d5
tömeg,0.2,kg,1,fb35be775641b4e9b325e848b90b3043a786bb7f7790c8a83f822b0eb386f79a
tömeg,0.125,kg,1,2fd48ae6df14563aacee7e90d9f587802a7a3d69ed3607a980b97b8bf1f95059
tömeg,0.1,kg,1,3206040bb7d737b5a1648ee834466dbd4549b14b42dd94255690eab88bf6b4f2
tömeg,0.2,kg,1,4a9a2ab6f26f723d9eccc91ac6abcbcf036135db818bbcbda217976460dec389
tömeg,0.5,kg,1,4acaa53ac6098f154ea0f24ac9dd052140d47a2c7a73c484366bc2bee7fc14c7
tömeg,0.2,kg,1,c0719b15877c0396be02e1aa812ed691e19be8c917d689fc8b30633cbb36b092
tömeg,1,kg,1,c0719b15877c0396be02e1aa812ed691e19be8c917d689fc8b30633cbb36b092
tömeg,0.23,kg,1,1b88cd2a77a51968563815c499ec434d85cf2f2453926c210589dbf9aa4482ff
tömeg,0.23,kg,1,66f824225d7a2afc297352f521ad7df84f88ee11239661096fcef27bbd17dbea
tömeg,0.2,kg,1,2e3df89f59feeaa1ea3f8d3f5b2bad84c4d5dddc757add4cbf08fce4f3128a3b
tömeg,0.03,kg,1,2e3df89f59feeaa1ea3f8d3f5b2bad84c4d5dddc757add4cbf08fce4f3128a3b
darabszám,4,db,1,df9c3eefcfcf853273357d1ae04c6f2f9659001f95844a56fd00073faca497e5
tömeg,0.3,kg,1,ef460551f15e81517d1212b4385b82d54077a9fed7da59432a1832d3c7a045e4
tömeg,1,kg,1,d7d5467d78ec32feaa081235cd6e91795837cfcd4bd6934a1d91a51ee49d8fa7
tömeg,1,kg,1,d7d5467d78ec32feaa081235cd6e91795837cfcd4bd6934a1d91a51ee49d8fa7
tömeg,0.22,kg,1,d7d5467d78ec32feaa081235cd6e91795837cfcd4bd6934a1d91a51ee49d8fa7
tömeg,0.24,kg,1,ab64bb97ea3b7bccafe764b9b02a73e9e032a1468c370f7c3be96d3b018ed97d
tömeg,0.2,kg,1,9bd616b140ea232d2f8385be687e6ac8b7fe1e30e327158644b58d3ae803e8e3
tömeg,0.16,kg,1,06827a6d356c56cced4c5472d934b23b08fbfedd0762c1fd05fd20adac8151da
darabszám,1,db,1,7e7fb4a613a19c5a80ef50fafe60def2934539c3806f28e1b5199a16c064c58f
tömeg,0.25,kg,1,70672028b9cf030a2b014f088af48f26c25bbe872083a7d5472f408aeca695bd
tömeg,0.375,kg,1,ff199b2dfeb02db5cc99b19feedf994687256df5712837695a32c1dc0cdb8680
tömeg,0.5,kg,1,2f42745f120b24a29013e1df4a88c85fe097e6274c4a853f7cca7c0d94839374
űrtartalom,1,l,1,75d20ac1a96b0e852abe5a0d20e79bb354d9f05f2556e9f2f0fdeb905856ed7f
űrtartalom,2,l,1,f57f5368ef40d39a26c427a9a3665b8b4b3ea72b37acaa9c03e680303936a6ad
űrtartalom,1,l,1,1623c2bae047abf935dfaae7659b7c5d5cda58d176fdca6c7df899b660dd64f0
űrtartalom,2,l,1,71b943b87843b9695cd5cf079574603ba3c04878485bb995a023ac1c71a2dfd7
űrtartalom,0.2,l,1,2a1a31ad7164164cbb9fadb0c58e4bea2cf5c6d9c339ccf0491d92eea61c9bdf
űrtartalom,1,l,1,a0e3bfe05a90172232df379c7ccd170c41c24f39cb36d0382b41be77c0d228c3
űrtartalom,0.2,l,10,0fed712a4fd93fd2762501adb08200ded969ba7e07a6cbaa9c46f2565a8e1f6c
űrtartalom,0.25,l,1,4d1c67e91e3de02e114ec9e662191577bc848c36baafeb93d93349eea7ff0bc3
űrtartalom,1,l,1,c94160e399d3031376a5ad5e4c6cdc9762b8fa10dc68cc95b1dc0fc6b8f30b8f
űrtartalom,1,l,1,a8018fc50023fac924427f3697331c7328dde0fba551ee4cf60aab45dd2fc5c5
űrtartalom,1.5,l,1,a362df7074937e2255aede028e9f50a9f732a449e89050aca16353bb66c0c4ab
űrtartalom,1,l,1,e8ea6dbc164ca99ab6e2b9998a18a13e938bf959284b87ed6560322f5cf28f0e
űrtartalom,1,l,1,8fc4c6e7ac7e41f82b35067acdd7500ebb4ea69287a58394c74e88c909278e67
űrtartalom,0.25,l,1,f4dffcb7d0935b6295fb42ec5d59767bee169ad289db5e14d0794b1dc627a24f
űrtartalom,0.33,l,1,f4dffcb7d0935b6295fb42ec5d59767bee169ad289db5e14d0794b1dc627a24f
űrtartalom,1,l,1,ca2f8765cde5c96bbf4e86eef2a8361b352a8b4e39114f78349127447ff1fd0c
űrtartalom,1,l,1,4f5361f73f5fc3134d206703ca5bd77565f0caa3a02ef142e7797ac6a3db3cba
űrtartalom,1,l,1,727ab53b58c1d69fd6b65fea66db8f78b93c3668e1e10e5bc82e81395811c8a9
űrtartalom,1,l,1,95639bd0a28127fab47b5e1f2025a9901f7e8dc7ff8476c7157f4ac03b14869e
darabszám,1,db,1,95639bd0a28127fab47b5e1f2025a9901f7e8dc7ff8476c7157f4ac03b14869e
darabszám,2,db,1,95639bd0a28127fab47b5e1f2025a9901f7e8dc7ff8476c7157f4ac03b14869e
űrtartalom,0.75,l,1,c1b39484713f5362387baf30cd962dbce1a8264e9e151848e65350c4d8cd47b8
űrtartalom,1,l,1,c1b39484713f5362387baf30cd962dbce1a8264e9e151848e65350c4d8cd47b8
űrtartalom,1.5,l,1,f038c27bf62d2c77360b717b5a62c80f8582e53451b1159321d3446bca8e53dd
űrtartalom,1.25,l,1,58594a342fd926af7b5e4cf251c96d50e42361773f7dd0d3413ea1339b2df3ca
űrtartalom,2,l,1,d001b50b0915dfa927fa14f17366d6d9d903f3a0bb3de7ca696bb087219a0b59
űrtartalom,0.5,l,1,aed4dc70bcb5a48d1ea1290e48d4be00f9be1d64d17785edecc69ec2aa5c2d10
űrtartalom,2,l,1,cb8dbe683a5885de02a005d2e3286b4e933cb2dfcb54bde055b405b5600700e3
űrtartalom,2,l,1,cb8dbe683a5885de02a005d2e3286b4e933cb2dfcb54bde055b405b5600700e3
űrtartalom,2.5,l,1,be10148ba2110d1076dbab9b35131eff18df293e478c8768332cdc1c798b442f
űrtartalom,1.5,l,1,744f2ea73072baa772dbc5a8bfae2ff7e1ee10940e8a7295be23bb815252c385
űrtartalom,1.75,l,2,d8b58c24c4d7f3e25ef1b21e0156888a94a7d9d5c96da85d1a6dc85d2f6bac4d
űrtartalom,1.75,l,1,d8b58c24c4d7f3e25ef1b21e0156888a94a7d9d5c96da85d1a6dc85d2f6bac4d
űrtartalom,0.33,l,1,ea1fd49e3b66f99a56bf20e666ea77508121785dc4df8fcae74e50b6b323d80a
darabszám,2,db,1,ea1fd49e3b66f99a56bf20e666ea77508121785dc4df8fcae74e50b6b323d80a
űrtartalom,2,l,1,cac85aaf877dadc1473f82294378115f03a135798b18f3fe3e88b86a771b7a1f
űrtartalom,1.75,l,1,1f771214d83434343725f768e4a64f57c66315044100b914934f86180956feed
űrtartalom,1.5,l,1,812d66d621add818819de2baafdef36884c8265e795186044ea97e172b9fe82e
űrtartalom,1.5,l,1,74e8a7d519da47394e90e778b01cad1547a4e8e447fc9d0808a8ab5460e03569
űrtartalom,0.75,l,1,d6bf58346b05864f3dda47b82dfcd4575cd31aeccd60d2bd7976ff419225ba8f
űrtartalom,1.5,l,1,d7c2a37dfca89a8eb1c40022ce2fe0fdb9233d18d001e4f0021c5f83be35eda2
űrtartalom,1.5,l,1,2fc02db5929910564f2d34cd9826f12cb2940ec68a32cce604ba13a71e16fceb
űrtartalom,1.5,l,1,9678dab255973427b148f64c41a11f021945edc4c736b3fb60242672cdd83a8f
űrtartalom,1.5,l,1,c3b6190dbec05981ab867b3d54382099806a86f0fe231d2882d609e61905ab5c
darabszám,1,db,1,c3b6190dbec05981ab867b3d54382099806a86f0fe231d2882d609e61905ab5c
darabszám,2,db,1,c3b6190dbec05981ab867b3d54382099806a86f0fe231d2882d609e61905ab5c
űrtartalom,0.5,l,1,393ef71d5220b546a5d7e83cc3bbdd09f398bf3061bab680061da9b19ade54f2
űrtartalom,0.25,l,1,7e91b1255d6d6fb6d8241a116160840f768f1f625be926c5aa7d12556309f458
darabszám,1,db,1,7e91b1255d6d6fb6d8241a116160840f768f1f625be926c5aa7d12556309f458
darabszám,4,db,1,7e91b1255d6d6fb6d8241a116160840f768f1f625be926c5aa7d12556309f458
űrtartalom,0.5,l,1,27e943010d7670f717a6c88add61156e392a6cc2788ec8087a8857f86a7629c2
űrtartalom,0.25,l,1,3b7992a0cc27a02608505810b4735f4fb7a1b36ab0d8fe350ddf66fdd2b62509
űrtartalom,1,l,1,3b7992a0cc27a02608505810b4735f4fb7a1b36ab0d8fe350ddf66fdd2b62509
tömeg,0.017,kg,24,a26fbed779311d52ee64a50bad2da7dac88d20ec25a4aa8082852a80d2e7cf66
tömeg,0.017,kg,1,a26fbed779311d52ee64a50bad2da7dac88d20ec25a4aa8082852a80d2e7cf66
tömeg,0.057,kg,1,738db99da585de41c463ecd04a280f9a8e0ca61c0a8301fd9ee31dbb91622eaf
tömeg,0.2,kg,1,20c387819d6e883fc1fa80754b783e0e23846ddf566150072de6bada74c2df2b
tömeg,1,kg,1,2dff755f5a5936725980f0b3d1b99783112dfe3f435530e391c418c01cdc1591
darabszám,20,db,1,c5f4d305187f70bbb7c1b68dde34e6568133ed2f67efba84e277e024bf2aad85
tömeg,1,kg,1,f86418550aaf47b037025d67eea9b2d75a3a2763604fb1c15492a94ddf4cd623
tömeg,1,kg,1,13f0a8cbfade9b24b6eb3aed7302640e842a959a29a1d9996225a51d18057f44
tömeg,1,kg,1,6269664c0335c9864ea2e09f37d1bd7856adb7c6c0d46082b0811f8695d6ab8c
tömeg,0.2,kg,1,26e34877445fad3e02018adcbbf0ff9c076d91496a722cfcb3511cb1ed57abc8
tömeg,0.016,kg,24,f0026c1121aec2af3f8d088cb687150522573c205d88687d19f4c1d9f1d659dd
tömeg,1,kg,1,491e6028a964daa608d34f22e3af8b22d6702eb6ae07abdd6b3b380c3d73a371
tömeg,0.12,kg,1,ee34213dd819c7ad23abb18f2e3e8b6f6713d287c3bfad28249c5c902b6a0e97
tömeg,0.25,kg,1,410f5efd2d6b1558043fd876596b59fe83c332aef8057af1749d69062967ec46
tömeg,0.214,kg,1,d1e2dad8acce85965e4d7bb96e0bd54d3ce402d8f44f347b2ad49b83ba35328c
darabszám,10,db,1,3007c671af94f36cac93fc2500d95ee1683088294c757b7b657740bdb9322919
tömeg,0.2,kg,1,ba2e0798a5651cc372a6db4548c6e4a7c55bd9d439749fee4698c47dea698920
tömeg,0.225,kg,1,a8cf77d780ba41c2e6310570243fc184002be9c068e5027eccf5848106c7611d
tömeg,0.25,kg,1,bef44328ba5eb4b3543504ad38063391214d578fc1cbe8bf9a62c73c22e049b1
tömeg,0.2,kg,1,abb3555bb111e8d1a21f67aa084bbb540f60eeceb2047a617e34d3eed09e862e
darabszám,1,db,1,8ac07e50970b37514b0eba0713a57aad637708f367089fbf29d184c71467f76e
darabszám,40,db,1,8ac07e50970b37514b0eba0713a57aad637708f367089fbf29d184c71467f76e
darabszám,1,db,1,df28dd39d6f057c4d7cf4659797f7d65ab6c90019e3f68858b5ec2d0321842c7
darabszám,30,db,1,df28dd39d6f057c4d7cf4659797f7d65ab6c90019e3f68858b5ec2d0321842c7
űrtartalom,1,l,1,354c67255d50ee99f61656a090e9ac8503f309813e8d2d69de135b1d256f0de8
űrtartalom,1.5,l,1,cffd7ac67c5b83b834db57485eff0efc3b89fa9c584ce31e63bebb8b1b580535
űrtartalom,0.33,l,1,77b56a55cf7d714e925b71e818f1177fcfe6bbb0ce1d3b8b00c5df85624a26ef
űrtartalom,1.5,l,1,7ece707cf20d2b098ae2e8213326f79eb60c82502932acf4156c4a1c7b769faa
darabszám,1,db,1,7ece707cf20d2b098ae2e8213326f79eb60c82502932acf4156c4a1c7b769faa
darabszám,6,db,1,7ece707cf20d2b098ae2e8213326f79eb60c82502932acf4156c4a1c7b769faa
űrtartalom,1.5,l,1,e71b1c1c64b98e74bffd41142876c9d474752638bd86076a7b0fa3c55a93d087
darabszám,6,db,1,e71b1c1c64b98e74bffd41142876c9d474752638bd86076a7b0fa3c55a93d087
űrtartalom,0.75,l,1,bee7f8d2134d6efe01d02292effd24947cb55a24bd9e2dc43f8888da6ad31a71
űrtartalom,0.75,l,1,b8fed8a222c8c8949bc94e28597c2662e6ad5f132e9a2c1c5ffe3d886f0b99fa
űrtartalom,0.75,l,1,8d2c52dca00fd44d7bed328159badc785b95967650233729dacc8459adeed0a1
űrtartalom,0.75,l,1,2ac4909df8e84261561f1da2559fa298ade93db5ede3d81eaad5255ebe9f9f10
űrtartalom,0.75,l,1,5e008121d9f5d690c626042502caf6186a5c5f1d50271a85eddb627e43f6f540
űrtartalom,0.75,l,1,3c9424d04e807b5b8f444a7543bdbe09a3193ef6ad30e61233d5515be80b3905
űrtartalom,0.75,l,1,4e7f43716609ebe720326fedbec8b9ef6417a5ebc5f227b57140e1da9a3cc502
űrtartalom,0.75,l,1,c7fb2c214184216525cd9e8e719c603145f8705303ddd673dd40a08ad55ffca9
űrtartalom,0.75,l,1,8406d961c0edbbfe1d4c1352d5133bed9d07a1ed20f2cc4e5cbc734275aba446
űrtartalom,0.75,l,1,0f6291c57132435a75fe4de9cda37168894b280f656af427adcfef51ffe29f68
űrtartalom,0.75,l,1,f503d4c3d1d9450b2667820c2c0271ab697042da8b0c4e2ec7433d4cec127da2
űrtartalom,0.75,l,1,5c841511ec2e1eda5b846c1b4638717c9e0684878f0723a7c35be616333a7a8f
űrtartalom,0.75,l,1,712f141ebb030114fab14628673c75d12c0c13b8665b54e5cbf43e7168fac528
űrtartalom,0.75,l,1,85469c57eeff74a40cb8553467feecccfe7ddf05d8cba56fcf633b7117ddccc0
űrtartalom,3,l,1,4e27bf8a1232889a1b990dd86951dc67b3676d8a70096fdd5fe141e1043099b7
űrtartalom,0.75,l,1,a0c4c47d7727cc21a695c2d1373599be967517f189c9a8161b37f7957229a817
űrtartalom,1,l,1,a0c4c47d7727cc21a695c2d1373599be967517f189c9a8161b37f7957229a817
űrtartalom,0.5,l,1,8b3fa2e5dc1c2d8900f7c4f6df9ec041f8575fb61ffe6a37271a1c5b6b641050
űrtartalom,0.33,l,1,3b588b3221c4783fc4f935363ea0f843373ea00f6e2f5854eb49cada07db9893
űrtartalom,0.5,l,1,1a00702ebdda400faecd68f546d88fbe184a9bacc921d6f03f13992d20c8794a
űrtartalom,0.5,l,1,ed8adf9b63e0f8f0d7f4449d5fd9623aded6b885b0763e827581cbaca75a29ce
űrtartalom,0.5,l,6,66a14df96f1a6d525aa00903abc7372086e242dcf3f3cf42e2f61f1c935f2529
űrtartalom,0.5,l,1,66a14df96f1a6d525aa00903abc7372086e242dcf3f3cf42e2f61f1c935f2529
űrtartalom,0.5,l,6,1599857c3edccea400051d356f00fcc0f6a231b39ace0cff07a7f51a3219c44f
űrtartalom,0.5,l,1,a7dd82ba291ab093cb3f798299407c996aa21e42f81658ffc74524b82694b8a0
űrtartalom,0.5,l,1,09a7437142548a4a01ea7efa76033950a894c4d7076cf3e7e57d1104d2eb1711
űrtartalom,0.5,l,6,ef5d5d103df2d23052e34d1f5e849b5cf4fcf688d6ab43ee7f3a72818e92ab91
űrtartalom,0.5,l,1,ef5d5d103df2d23052e34d1f5e849b5cf4fcf688d6ab43ee7f3a72818e92ab91
űrtartalom,0.33,l,1,70af5b406544a3143c11f8c580bf63d5fc9fd982aaeae49ba292c367af69e266
űrtartalom,0.5,l,1,122c6b9adbd5020dec3d4edb16d715efd71f47d3f0bc66114c44de529f7ffa30
űrtartalom,0.5,l,1,05f846b55848a2d163e3fc1fc0398e373c55e4debc941bc4108e75bf0a8de39d
űrtartalom,1,l,1,05f846b55848a2d163e3fc1fc0398e373c55e4debc941bc4108e75bf0a8de39d
űrtartalom,0.5,l,1,b97de6791456e0dec8afa419b4f3918b8f7de279a4472a4954b4dc4dacb0bce2
űrtartalom,1,l,1,b97de6791456e0dec8afa419b4f3918b8f7de279a4472a4954b4dc4dacb0bce2
űrtartalom,0.5,l,1,b06386626c741c57382ab124b20d35c8de1653f6e81a076e2ad5e6e5a0257dc5
űrtartalom,1,l,1,b06386626c741c57382ab124b20d35c8de1653f6e81a076e2ad5e6e5a0257dc5
űrtartalom,0.5,l,1,70937d6b135c14766d370435349d052ea89420822d09a2361fa21e3df86cee60
űrtartalom,0.5,l,1,08188a2cb833543a36d2884a775e7e33ae51c2da5578ceb38aad80c80e8bee0e
űrtartalom,1,l,1,08188a2cb833543a36d2884a775e7e33ae51c2da5578ceb38aad80c80e8bee0e
űrtartalom,0.5,l,1,f3f79a289298198055a7cca251590fbce745fcf6c83420a97d21c1c5a450a6ea
űrtartalom,0.5,l,1,61ffdd81c7427bf7aa97c90f063dbe819fd6c2e2c5690825e7f11e8f92cc2602
űrtartalom,0.25,l,1,2b2d7a9cf0f89479f73ac331f6d2e79a82c0148bfe2ee6f36116f7cdd2b550cd
darabszám,2,db,1,2b2d7a9cf0f89479f73ac331f6d2e79a82c0148bfe2ee6f36116f7cdd2b550cd
űrtartalom,0.5,l,6,7024a2d63a67d09168e6e4da96e24a8873e56941e73abaa5be15bd401e143d43
űrtartalom,0.7,l,1,319912600a89b2a62642b83b6a7f2dc96e4a5d2a8d2443eecace5622e2ba6f80
űrtartalom,0.7,l,1,dd3fd620276464dcd3781c308967c41306bcdb58310982a1bd7b6c2e03add191
űrtartalom,0.7,l,1,6a24dc820f984f32e5cedfd98d6340b015de4014375ae9095160297a638e6e4a
űrtartalom,0.7,l,1,0259983476ea9b3d3b4279625b04a9d462a87f241b912800ba4694325764e621
űrtartalom,0.7,l,1,4c79689d3d6a22011886c97bbe47e1dee819358b5d32cbfc755e757862d503d7
űrtartalom,1,l,1,4c69ae9da5d66537652683daf8c66c7f23a11694982373590954162e5d91b09c
űrtartalom,0.7,l,1,61659ba654152bfd7fb84908d6dd194859d820fa37a2847a951e75827f589b1a
űrtartalom,0.7,l,1,9f2606eeaf65c9e5a04d3e9bd457e1824b21671e2d0bc657f91a1ff61bf48b1d
űrtartalom,0.5,l,1,1e1f68373a72de4cead49d05779ab010e43d55399d084fa1c31ce0666cf2d7eb
űrtartalom,0.5,l,1,c20af312797b82cc970c818563c8f3ea88546c9dd868288ab062bdbd0480c3bb
űrtartalom,0.5,l,1,93b7babf10f31bc4e4e672b9ca7297b6f25fdf6597be62ed9b35688f8c11dd84
űrtartalom,0.5,l,1,93b7babf10f31bc4e4e672b9ca7297b6f25fdf6597be62ed9b35688f8c11dd84
űrtartalom,1.5,l,1,96908337c0a1adfd0866bc25af2560f7db37ea4d130b300ff42c3b949666119c
űrtartalom,1,l,1,9163888dfc631293e0afded1f6ea6cf8f950611a13a107547221b8a4a93e1c85
űrtartalom,1,l,1,67bc65968a2e7d77c8170de20d62b24dcb736e9784927b7a9e1e21d004bce1eb
űrtartalom,0.7,l,1,15d129fb06d2c243426af49c9e9d761f3304e9fe60ff13094e2b1ccc85db62f4
űrtartalom,0.2,l,1,72606f294d10e4b9c05452b6ee836356c6a36775e290d1af398f177c3ab9d384
űrtartalom,0.7,l,1,72606f294d10e4b9c05452b6ee836356c6a36775e290d1af398f177c3ab9d384
űrtartalom,1,l,1,d373c161e900d519319cce04123a2469cda884a8253161a07c3c3a94b030116b
űrtartalom,0.7,l,1,835e3abfb466aaae3e7dc51101d013dc5ff007a1dbf1da1cc301f7e846f50d09
űrtartalom,0.7,l,1,d53e723b0337411d80cac958add5acfc743765c243043e031bea5cfeeee2d565
űrtartalom,1,l,1,d53e723b0337411d80cac958add5acfc743765c243043e031bea5cfeeee2d565
űrtartalom,0.75,l,1,7278fc7a038738798dc47c1b52e131633988948512c506ac338a82accfb3f25c
űrtartalom,0.75,l,1,e387b26ae400e5a1ead19e19c4c36e29d39d1723e45f95fa1e9c3d7be5bd924b
űrtartalom,0.75,l,1,ef5a56aef99ccd62453660bcccf4d9445566662b8c13e54f2551a14885e37cd5
