ertek,egyseg,egyedi_hash
2443,Ft/kg,d4c1c3e7ee98c900259d16afae3edf56e351ebba8f0e1ea574400bd23fc93d07
1999,Ft/kg,d4c1c3e7ee98c900259d16afae3edf56e351ebba8f0e1ea574400bd23fc93d07
3465,Ft/l,4d8d3c4d1db01b1e783b2062b9548fcb85cea4d1f97a1c49b9b2600e105a52e3
2399,Ft/l,4d8d3c4d1db01b1e783b2062b9548fcb85cea4d1f97a1c49b9b2600e105a52e3
3150,Ft/l,e70905fdaf05eae41121ef0d28ab7f0efe2db0733b7bb802a6a8559f2cbbd931
2181,Ft/l,e70905fdaf05eae41121ef0d28ab7f0efe2db0733b7bb802a6a8559f2cbbd931
6942,Ft/l,f4da285ed03d48122d0d5aa0bd12be4fac3bb613e2c64bef5a1407f6c06bf910
5553,Ft/l,f4da285ed03d48122d0d5aa0bd12be4fac3bb613e2c64bef5a1407f6c06bf910
4628,Ft/l,f4da285ed03d48122d0d5aa0bd12be4fac3bb613e2c64bef5a1407f6c06bf910
3702,Ft/l,f4da285ed03d48122d0d5aa0bd12be4fac3bb613e2c64bef5a1407f6c06bf910
6942,Ft/l,f4da285ed03d48122d0d5aa0bd12be4fac3bb613e2c64bef5a1407f6c06bf910
5553,Ft/l,f4da285ed03d48122d0d5aa0bd12be4fac3bb613e2c64bef5a1407f6c06bf910
4463,Ft/l,f4da285ed03d48122d0d5aa0bd12be4fac3bb613e2c64bef5a1407f6c06bf910
3570,Ft/l,f4da285ed03d48122d0d5aa0bd12be4fac3bb613e2c64bef5a1407f6c06bf910
7997,Ft/l,4c514dd7e09f9da914fe628301d266b07645123646e07b8b64c40f5c289e2033
6663,Ft/l,4c514dd7e09f9da914fe628301d266b07645123646e07b8b64c40f5c289e2033
4398,Ft/l,0150793829156a99414f124884d28304a3bad5ca5de2cba05db51ffb8fde9f24
6198,Ft/kg,c2bb720bb6d3d306ea146c9f14b05d3a49efdb94621af2ef83552fada2c136d1
4398,Ft/kg,c2bb720bb6d3d306ea146c9f14b05d3a49efdb94621af2ef83552fada2c136d1
6941.67,Ft/l,cdf50b6e5730c9c65dc67c5402dd5a218e11038d54f4885dc063daf7bbda6a59
14701,Ft/l,71cc9efd0a0fb14b122f007cb3f8e6171e4f1a6827491eea23a65f522a4332cd
12250,Ft/l,71cc9efd0a0fb14b122f007cb3f8e6171e4f1a6827491eea23a65f522a4332cd
4139.06,Ft/kg,462d48b389e1d34e882b19ad7ada61dabe6835d716e12ba9c63de2443ae0d7bb
8600,Ft/l,a2b8cc014144e4014ec9a65039492fae5e0a4cec62f9e8276e9c734bc9596538
7095,Ft/l,a2b8cc014144e4014ec9a65039492fae5e0a4cec62f9e8276e9c734bc9596538
5788,Ft/kg,39382dd3b21ad088a8187e41e09f3061c8bfd33e1b849ca604d4e20816b08678
4631,Ft/kg,39382dd3b21ad088a8187e41e09f3061c8bfd33e1b849ca604d4e20816b08678
16248,Ft/kg,2fdfe9ec20460675bdf93c0c0fb92d5c75c9e96e5ce4f7871990ff56b1f518ac
11248,Ft/kg,2fdfe9ec20460675bdf93c0c0fb92d5c75c9e96e5ce4f7871990ff56b1f518ac
7596,Ft/kg,c3b817a8b14195f3b0503503e6f0cfd135de8c7d6648793daba6cd29fa897773
5996,Ft/kg,c3b817a8b14195f3b0503503e6f0cfd135de8c7d6648793daba6cd29fa897773
4798,Ft/kg,c6de0fe2eb7d17a8b82b20b6bef5ceffa1a425cb9171333006285837b22550b1
3798,Ft/kg,c6de0fe2eb7d17a8b82b20b6bef5ceffa1a425cb9171333006285837b22550b1
2798,Ft/kg,dfe0d16b9e36ebf6818e78940e39d10940e9bea1e9aa58063ed541104a5a0b6a
4190,Ft/kg,7e414beed60466e45659307996fedcb91ece6107a470fd6c9f3072e119e2aeaf
